"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000238113.7",43.7907632939535,-1.95811846360719,0.519889499894501,-3.76641279349658,0.000165609893057969,0.0202332408183814
"ENSG00000239219.2",3.90007779852894,-2.72609427976355,0.781916862075341,-3.48642472363114,0.000489523130982881,0.0366876215990634
"ENSG00000239961.3",43.5619982824794,-2.95289454127915,0.874536391042451,-3.3765256329234,0.000734075317018137,0.0443475479047138
"ENSG00000240143.1",5.75768502907609,-2.72748626868696,0.691958763384253,-3.94168903266328,8.0909832058327e-05,0.0139261595845298
"ENSG00000241560.7",5.45105926702942,-2.33512113018059,0.467278595030216,-4.99727818696593,5.8145159950882e-07,0.000723299360170813
"ENSG00000242747.1",4.96788091074685,-1.63120343474974,0.470819951280674,-3.46460134136778,0.000531018022548601,0.037954849018364
"ENSG00000242797.3",7.25382692262218,-2.29195751822141,0.520985354830717,-4.39927436917325,1.08613437120281e-05,0.00461705829395329
"ENSG00000245648.2",78.3850793764677,-1.90233189408198,0.490805853537455,-3.87593562784762,0.000106215764245047,0.0165129931311011
"ENSG00000248115.1",5.95976633885279,-4.5687895558711,0.679548598816026,-6.7232712477537,1.7768935286476e-11,1.21570612996247e-07
"ENSG00000248290.1",9.40549372852544,-3.06141163106244,0.76511147809693,-4.00126219342196,6.3005495897902e-05,0.0120776372692704
"ENSG00000248714.7",7.36442957369304,-2.12748187945275,0.571158291165303,-3.72485510997689,0.000195427434696026,0.0223776678047119
"ENSG00000248996.1",19.5881818412901,-1.9417884802691,0.536723833839576,-3.61785402071317,0.000297055854219681,0.0286250970508099
"ENSG00000249661.1",4.09829514935585,-1.9663192303696,0.555134068512912,-3.54206189441221,0.000397012306398628,0.0329243508763977
"ENSG00000251034.2",49.1412804564689,-1.31750959626365,0.389829941585108,-3.37970344429279,0.000725640802990932,0.0442732753737459
"ENSG00000251322.9",1442.21069389592,-1.46566769336952,0.408406353081013,-3.58874851557167,0.000332269165993398,0.0303132497530398
"ENSG00000251323.3",7.40410725855921,-2.14778011315026,0.603799310849689,-3.55710924897847,0.000374958246877248,0.0319372936070212
"ENSG00000253988.1",3.84582899042895,-2.88221375437677,0.709928510476072,-4.05986477771399,4.9101143473696e-05,0.0112824749138432
"ENSG00000254759.1",16.3397207269842,-1.27173338165815,0.303976333115362,-4.18365919683464,2.86854046514606e-05,0.00817743196975545
"ENSG00000256427.2",5.70344263200574,-2.7498579409062,0.751129391318853,-3.66096437270006,0.000251267700531458,0.0257544687657094
"ENSG00000258733.6",30.6869851833344,-1.58296586947632,0.476665585709374,-3.320914949462,0.000897228744576609,0.0495686519133305
"ENSG00000260228.6",10.122903638672,-1.91405054970518,0.560274758829537,-3.41627124824219,0.000634849763130498,0.0410731287649937
"ENSG00000260510.1",3.62160860217117,-2.17587856907936,0.64579618210694,-3.36929611751568,0.00075360420191329,0.0450813576927158
"ENSG00000261416.1",5.35192715273993,-2.7537813440871,0.805962341329103,-3.41676180495712,0.000633706990930114,0.0410731287649937
"ENSG00000262319.1",2.92410563915459,-3.65299121561795,0.946070842995095,-3.86122375788817,0.000112820520925519,0.0171531066453815
"ENSG00000262406.3",969.63746471912,-3.99498508841647,0.831876086344867,-4.80238001066939,1.56790774962555e-06,0.00147961832358629
"ENSG00000264345.2",6.12854698051175,-3.73899398540787,0.740523056060586,-5.04912568866994,4.43836663039918e-07,0.000578403712257783
"ENSG00000265206.5",117.09018103523,-2.89761375062566,0.828163581519227,-3.49884227619635,0.000467282908084269,0.0357210372780508
"ENSG00000265743.1",32.2869652230195,-1.47730301563203,0.421673642493898,-3.50342745374086,0.00045931174874825,0.0355588598259482
"ENSG00000267287.1",20.857620827094,-1.97564144853587,0.546519520342117,-3.61495129634003,0.00030040409078042,0.0286451524473441
"ENSG00000267369.1",50.2487375808864,-2.07102508108229,0.585996445845957,-3.53419392858692,0.00040902085325258,0.0335139930867167
"ENSG00000267432.6",11.4652819565981,-2.62491594998386,0.786869212641148,-3.33589865738076,0.000850241519877598,0.0483753839386491
"ENSG00000267731.1",20.0021841127245,-2.2739465851448,0.61211128313081,-3.71492349154891,0.000203265185687395,0.0228920096160779
"ENSG00000268027.5",65.9238018746451,-2.58095632941598,0.764059917364823,-3.37795017217691,0.000730283120863684,0.0443165063857464
"ENSG00000268316.1",3.08586659041196,-1.66803576895279,0.501020644733155,-3.32927552285035,0.000870722216062242,0.0488734445107447
"ENSG00000268849.5",4.22505429145902,-2.17463966677307,0.581542287526702,-3.73943514240693,0.00018443422514984,0.0217560837917055
"ENSG00000269220.1",28.9834628201316,-2.51890768197048,0.607755561376247,-4.14460655245421,3.40397651073435e-05,0.00895736780473719
"ENSG00000269345.1",3.40359069700121,-2.04788569206756,0.609067307785189,-3.3623306749372,0.000772875099206137,0.0454866082580094
"ENSG00000269800.1",8.08085988383565,-1.92827549697115,0.544879932127552,-3.53889982595241,0.00040179829573134,0.0331205239737337
"ENSG00000270164.1",74.8903606351887,-2.12087455000103,0.580032802178866,-3.65647346500761,0.000255708867227922,0.0260148125257492
"ENSG00000270379.6",5.66767930634155,-2.37028937061912,0.681609653006696,-3.47748797301119,0.000506135756766223,0.0373353564836151
"ENSG00000272789.1",25.7060272632913,-2.58999921170394,0.644057438289905,-4.02137923999587,5.78583674828634e-05,0.0118164921112203
"ENSG00000272980.4",3.40359960238127,-2.177207001337,0.592667971449378,-3.67356953002304,0.000239185553197627,0.0252570470250195
"ENSG00000273062.1",16.8431878603242,-1.57299415676121,0.451856000868207,-3.48118461133374,0.000499201294040464,0.0369233562540686
"ENSG00000273203.1",8.23814687010552,-2.03252814466567,0.601005757389334,-3.3818779931404,0.000719921115004701,0.0440762441931402
"ENSG00000273837.1",31.2794590358643,-2.90435450967941,0.847358080768792,-3.42754093646495,0.00060907446466191,0.0403607465327799
"ENSG00000274272.1",21.8993842661507,-1.76109403268381,0.523182896320621,-3.36611545421117,0.00076234793230439,0.0451583893146629
"ENSG00000276231.5",154.180947619968,-1.47071332400927,0.434191033692175,-3.38724941301287,0.000705971763123043,0.0436124813575357
"ENSG00000276409.5",22.5960313722243,-2.91357706611569,0.81707298276869,-3.56587125943499,0.000362649375291297,0.0312095140050217
"ENSG00000276842.1",15.0892422727079,-2.21792096894991,0.633411461239323,-3.50154852678282,0.000462562725108253,0.0355588598259482
"ENSG00000279166.1",3.11459032245396,-2.72844275985226,0.524826603417662,-5.19875086759073,2.00632213818042e-07,0.000343168862222397
"ENSG00000279277.2",33.2054753347819,-2.06431312574604,0.497538466349533,-4.14905231527527,3.33854514504865e-05,0.0088704820373346
"ENSG00000281103.2",81.9014539071746,-2.61243430640294,0.575361736852051,-4.54050754347383,5.61189708596134e-06,0.00317762236671854
"ENSG00000283265.1",20.3965569497667,-2.42416911367626,0.598044981936131,-4.05348959843819,5.04592444859338e-05,0.0113957394941797
"ENSG00000283307.1",3.16073876253146,-4.43815913235372,0.985634851748575,-4.50284314163624,6.70503723667274e-06,0.0033980880380745
"ENSG00000283787.2",99.8389570322186,-2.38208237478439,0.650642530337379,-3.66112306484054,0.000251112097283408,0.0257544687657094
"ENSG00000286196.1",5.84446623574576,-2.47815765536513,0.643677159435008,-3.85000091900162,0.000118117381647194,0.0173791310942944
"ENSG00000286406.1",2.84422211699056,-2.7728289008338,0.752808195321462,-3.68331391457521,0.000230221361632223,0.0247999370544416
"ENSG00000287255.1",19.6719105165707,-1.4565430018493,0.43819826586325,-3.32393602466663,0.000887565543368312,0.0493699313523589
"ENSG00000288052.1",2.18939707056469,-2.05462927730959,0.57446575598534,-3.57659139104895,0.000348103651537174,0.0306320020309256
